Time (+08),Latitude,Longitude,Course,kts,mph,feet,Rate,Reporting Facility
Thu 12:18:00 PM    Left Gate (SIN) @ Thursday 12:18:00 PM +08,,,,,,,, Airline
Taxi Time: 10 minutes,,,,,,,,
Thu 12:28:03 PM    Departure (SIN) @ Thursday 12:28:03 PM +08,,,,,,,, FlightAware ADS-B (XSP / WSSL)
Tue 12:21:51 PM,1.7197,103.564,← 295°,383,441,20350,2680, FlightAware ADS-B (QPG / WSAP)
Tue 12:22:22 PM,1.7436,103.5123,← 295°,380,437,21650,1648, FlightAware ADS-B (SIN / WSSS)
Tue 12:22:52 PM,1.7651,103.4658,← 295°,384,442,22025,339, FlightAware ADS-B (QPG / WSAP)
Tue 12:23:24 PM,1.7902,103.4116,← 295°,413,475,22000,-24, FlightAware ADS-B (WSAG)
Tue 12:23:54 PM,1.8146,103.3587,← 295°,439,505,22000,, FlightAware ADS-B (MKZ / WMKM)
Tue 12:24:10 PM,1.8273,103.3281,← 289°,442,509,22000,, FlightAware ADS-B (XSP / WSSL)
Tue 12:24:49 PM,1.8471,103.2523,← 283°,440,506,22000,, FlightAware ADS-B (WSAC)
Tue 12:25:27 PM,1.8646,103.1766,← 283°,436,502,22000,, FlightAware ADS-B (JHB / WMKJ)
Tue 12:25:57 PM,1.8783,103.1166,← 283°,437,503,22000,, FlightAware ADS-B (WSAG)
Tue 12:26:28 PM,1.892,103.0592,← 283°,409,471,22000,, FlightAware ADS-B (WSAG)
Tue 12:27:04 PM,1.9075,102.995,← 284°,405,466,22000,, FlightAware ADS-B (QPG / WSAP)
Tue 12:27:34 PM,1.9207,102.9399,← 283°,394,453,22000,-49, FlightAware ADS-B (PKU / WIBB)
Tue 12:28:05 PM,1.9338,102.8852,← 284°,386,444,21950,-910, FlightAware ADS-B (QPG / WSAP)
Tue 12:28:35 PM,1.9463,102.8339,← 284°,385,443,21075,-2300, FlightAware ADS-B (MKZ / WMKM)
Tue 12:29:05 PM,1.9596,102.7786,← 283°,392,451,19650,-2775, FlightAware ADS-B (JHB / WMKJ)
Tue 12:29:35 PM,1.9714,102.7273,← 283°,395,455,18300,-2975, FlightAware ADS-B (SIN / WSSS)
Tue 12:30:05 PM,1.9833,102.6725,← 282°,407,468,16675,-2600, FlightAware ADS-B (SIN / WSSS)
Tue 12:30:35 PM,1.9946,102.6198,← 282°,396,456,15700,-2025, FlightAware ADS-B (SZB / WMSA)
Tue 12:31:05 PM,2.0058,102.5658,← 282°,386,444,14650,-2189, FlightAware ADS-B (SZB / WMSA)
Tue 12:31:36 PM,2.017,102.5127,← 283°,378,435,13475,-2139, FlightAware ADS-B (MKZ / WMKM)
Tue 12:32:06 PM,2.0284,102.4632,← 283°,368,423,12475,-2225, FlightAware ADS-B (SZB / WMSA)
Tue 12:32:36 PM,2.0401,102.4133,← 284°,366,421,11250,-2314, FlightAware ADS-B (SZB / WMSA)
